P1070478	Cheetahs, zebras and wildebeest in Masai Mara	http://www.youtube.com/watch?v=LXvs7d6Ax2w&feature=youtube_gdata_player	Cheetahs observing zebras and wildebeest in Masai Mara.	kenya	170	41
P1110352	Seals of Cape Cross	http://www.youtube.com/watch?v=QDwcjF7Fcgo&feature=youtube_gdata_player	First the camera focuses on a babyseal (who is looking for its mommy?). Then the camera zooms out and shows the whole seal colony resting on the beach and swimming (hunting?) in the sea. Cape Cross, Namibia	namibia, cape_cross	114	5
P1070302	Masai women singing and dancing	http://www.youtube.com/watch?v=OEQ4DsLE5nc&feature=youtube_gdata_player	Masai women standing and walking in one line, singing and dancing in a Masai village close to Masai Mara.	africa, kenya, masai, masai-mara, singing, dancing	34	124
P1100149	Playing with Zambian schoolchildren	http://www.youtube.com/watch?v=Sg2G1IF9HR4&feature=youtube_gdata_player	Playing with Zambian children and singing "Old MacDonald had a farm" in the yard of a small school in Livingstone	zambia	36	18
P1060107	School children singing	http://www.youtube.com/watch?v=998dyI0pkGA&feature=youtube_gdata_player	Pre-school children and their teacher singing a greeting song to greet a bunch of mzungus: "We are happy to see you today..."	africa, uganda, bujagali, school, children	26	37
P1060600	Twa dance	http://www.youtube.com/watch?v=6cQsH1p6RgE&feature=youtube_gdata_player	A group of villagers are dancing around a Western girl. A man in a red T-shirt is making low-frequency sounds using a large pot.	rwanda	27	40
P1070500	Cheetah looking at running animals	http://www.youtube.com/watch?v=pBnnsZxaMaw&feature=youtube_gdata_player	Cheetah looking at running zebras and wildebeest at Masai Mara	kenya	12	8
P1100242	Kayakers and rafters in Zambezi	http://www.youtube.com/watch?v=7IUyC6AI3xk&feature=youtube_gdata_player	Kayakers and rafters in the rapids of middle Zambezi, just after the Victoria Falls	zambia	97	14
P1100241	Victoria Falls and the rafters on Zambezi	http://www.youtube.com/watch?v=92eEJYrr8Uw&feature=youtube_gdata_player	Victoria Falls, Zambezi, boiling pot, rapid number 1, white-water rafters getting ready	zambia	83	17
P1060260	Boda-boda ride in Jinja	http://www.youtube.com/watch?v=CoQCJTHiCRo&feature=youtube_gdata_player	Boda-boda ride in Jinja	africa, uganda, jinja, boda-boda	21	74
P1050670		http://www.youtube.com/watch?v=z3bjpBW9ZI8&feature=youtube_gdata_player	TODO: add location	traffic	53	20
P1070287	Masai men singing and dancing	http://www.youtube.com/watch?v=wm-_7t-T-mM&feature=youtube_gdata_player	Masai men singing and dancing next to a large yellow truck in a Masai village close to Masai Mara.	africa, kenya, masai, masai-mara, singing, dancing	61	113
P1060118	Children singing	http://www.youtube.com/watch?v=4WSs9fRExYY&feature=youtube_gdata_player	Pre-school children singing in a school close to Bujagali.	africa, uganda, bujagali, school, children, singing	68	19
P1050748	Baboon family eating	http://www.youtube.com/watch?v=LCld4UreaG4&feature=youtube_gdata_player	Baboon family eating at the Bantu Lodge campsite in central Kenya.	africa, kenya, baboon, eating	31	181
P1090284	Lions and a safari truck	http://www.youtube.com/watch?v=kE5nwwoOnPk&feature=youtube_gdata_player	A lion family walking very close by a safari truck at South Luangwa National Park	zambia	34	37
P1060246	Kingfisher fishing on Source of Nile	http://www.youtube.com/watch?v=BkJ-_WSf2V8&feature=youtube_gdata_player	Kingfisher fishing on Source of Nile, close to Lake Victoria, Jinja, Uganda	africa, uganda, jinja, nile, kingfisher, fishing	36	139
P1050994	Two ostriches browsing	http://www.youtube.com/watch?v=8bNoHkkz8mA&feature=youtube_gdata_player	Two ostriches browsing at the Samburu National Park	africa, kenya, samburu, ostrich, eating	27	36
P1060004	Zebra, oryx, and ostrich walking	http://www.youtube.com/watch?v=4FTdQy8H7Uc&feature=youtube_gdata_player	Zebra, oryx, and ostrich walking in the Samburu National Park	africa, kenya, samburu, zebra, oryx, ostrich, walking	25	95
P1110313	Cape Cross and its sealcolony	http://www.youtube.com/watch?v=jJBhdA3lm9Q&feature=youtube_gdata_player		namibia	57	6
P1110402	Musical restaurant staff	http://www.youtube.com/watch?v=bPJsCgOT4GU&feature=youtube_gdata_player	Restaurant staff singing and dancing to entertain their guests, a restaurant in Swakopmund	namibia	34	14
P1060928	Flamingos and buffalo at Lake Nakuru	http://www.youtube.com/watch?v=R8AX0-fOFdo&feature=youtube_gdata_player	Afternoon gamedrive @ Lake Nakuru park: flamingos, buffalo, and some flying birds (pelicans?)	kenya	54	8
P1120139	Khayelitsha United Mambazo	http://www.youtube.com/watch?v=G8sMvgEZAm4&feature=youtube_gdata_player	Khayelitsha United Mambazo performing at the V&A Waterfront in Cape Town	south_africa, cape_town	39	72
P1060412	Mountain gorilla baby	http://www.youtube.com/watch?v=-raiD4HlJdg&feature=youtube_gdata_player	Mountain gorillas from the Sabyinyo family at the Volcanoes National Park.	africa, rwanda, volcanoes, gorilla, baby	28	57
P1090280	Playful lion cubs	http://www.youtube.com/watch?v=GD24LZtsj3o&feature=youtube_gdata_player	Observing lion cubs at South Luangwa.	zambia	18	27
P1080599	Red colobus monkey at Jozani NP	http://www.youtube.com/watch?v=PdXJzBiNiwM&feature=youtube_gdata_player	Observing a red colobus monkey who is sitting on the top of a tree and scratching itself. The Jozani national park is famous for its red colobus monkeys who only live on Zanzibar (although some subspecies of red colobus also live on mainland Tanzania). Colobus monkeys do not have thumbs on their front legs. They don't eat ripe fruits because they cannot digest sugar. They like to eat charcoal possibly to bind toxins contained in some of the plants whose leaves they eat.	tanzania, zanzibar	56	18
P1110435	Sandboarding	http://www.youtube.com/watch?v=G3GsxIQIwhs&feature=youtube_gdata_player	Riding down a sandy slope close to Swakopmund	namibia	32	11
P1060611	People by the road in the sunlight	http://www.youtube.com/watch?v=W23lMkNM1DQ&feature=youtube_gdata_player	Views from a large yellow truck riding from Ruhengeri to Kigali, Rwanda	rwanda	25	7
P1100458	Mokoro ride in the Okavango Delta	http://www.youtube.com/watch?v=yBANxrA-Jjw&feature=youtube_gdata_player		botswana, okavango_delta	18	6
P1120129	Advertising	http://www.youtube.com/watch?v=T45_B6D2rTE&feature=youtube_gdata_player	A group of young people advertising something (burgers?), close to V&A Waterfront, Cape Town	south_africa	27	10
P1100584	Guy riding a horse	http://www.youtube.com/watch?v=PR0vlhw_OWw&feature=youtube_gdata_player	Roadside of Botswana. Driving by a guy on a horse (at the very end of the video).	botswana	29	7
P1070959	Buffalo crossing	http://www.youtube.com/watch?v=p-hrza4gpAQ&feature=youtube_gdata_player	A herd of buffalo observed in the Ngorongoro Crater	tanzania	35	2
P1050992	Two giraffes getting ready to neck	http://www.youtube.com/watch?v=f5_PeHAnEvg&feature=youtube_gdata_player	Two giraffes getting ready to neck at the Samburu National Park	africa, kenya, samburu, giraffe, necking	31	28
P1100718	Elephant in a water hole	http://www.youtube.com/watch?v=nCV3XtMHwVg&feature=youtube_gdata_player	Elephant drinking water at the Etosha National Park	namibia	24	13
P1100507	Learning poling in the Okavango Delta	http://www.youtube.com/watch?v=sq0v08TqvVc&feature=youtube_gdata_player	Tourists are learning to pole the mokoro boat in the Okavango Delta	botswana	46	18
P1110744	Walking down Dune 45	http://www.youtube.com/watch?v=RdBnlekKkys&feature=youtube_gdata_player	A man walking downhill from the top of Dune 45, close to Sossusvlei	namibia	17	22
P1100738	Giraffes by a waterhole	http://www.youtube.com/watch?v=Vh1GCuGln2A&feature=youtube_gdata_player	Giraffes drinking water at the Etosha National Park. Note that it is very difficult to drink water if your head is positioned so high above the ground.	namibia	30	21
P1100631	Running man	http://www.youtube.com/watch?v=JE919InqSHo&feature=youtube_gdata_player		namibia	6	13
P1110198	Bugs	http://www.youtube.com/watch?v=qut3jel7_es&feature=youtube_gdata_player	Bugs at Brandberg	namibia	16	9
P1060939	Flamingos eating	http://www.youtube.com/watch?v=kJjJL6WcZDQ&feature=youtube_gdata_player	Flamingos at Lake Nakuru	kenya	14	13
P1100262	Freefalling into the gorge from the Zambia-Zimbabwe bridge	http://www.youtube.com/watch?v=MpwOb-tHGSo&feature=youtube_gdata_player	Observing a gorge-swinger from the bridge at Victoria Falls that connects Zambia to Zimbabwe	zambia	17	10
P1240590	Picking up a sea cucumber	http://www.youtube.com/watch?v=CnhYmoUYwFk&feature=youtube_gdata_player	Sea cucumbers are echinoderms from the class Holothuroidea. They are marine animals with a leathery skin and an elongated body containing a single, branched gonad. When picked up from the water and squeezed, the cucumber emits water and becomes stiff.	french_polynesia, huahine	46	4443
P1340156	Landmine victims playing Cambodian music	http://www.youtube.com/watch?v=b1KMt8KhOeo&feature=youtube_gdata_player		cambodia	57	214
P1330792	Boiling the cocoons of the silk worms	http://www.youtube.com/watch?v=K_A96oIZsbY&feature=youtube_gdata_player	The cocoons of the silk worms are boiled in order to extract the silk thread. The remaining worms are then eaten. Angkor Silk Farm, close to Puok, 15km west from Siem Reap.	cambodia	22	714
P1250715	Village chief playing flute	http://www.youtube.com/watch?v=nJaMFiYymjE&feature=youtube_gdata_player	Village chief standing with his wives and playing flute, Paiya village, Papua New Guinea Highlands close to Mt Hagen.	papua_new_guinea	32	175
P1250129	Kiwibird eating sweetcorn	http://www.youtube.com/watch?v=67y21gfoDR0&feature=youtube_gdata_player	Kiwibird eating sweetcorn in the Auckland Zoo.	new_zealand	55	356
P1250837	Asaro mudmen	http://www.youtube.com/watch?v=xiNfQL00VH4&feature=youtube_gdata_player	Asaro villagers in the mudmen-performance.	papua_new_guinea, asaro, mudmen	30	487
P1230013	Spillway	http://www.youtube.com/watch?v=5-IKMTcJB0s&feature=youtube_gdata_player	Spillway in action, Itaipu power plant.	brazil	25	124
P1250726	Paiya dance	http://www.youtube.com/watch?v=M4uwwva7kqo&feature=youtube_gdata_player	Six Paiya women wearing face paintings and dancing.	papua_new_guinea	40	37
P1360704	Chinese soldiers practicing standing and walking	http://www.youtube.com/watch?v=N0eXhnXrld4&feature=youtube_gdata_player	Military practice session on the square between the Tiananmen and the Forbidden City, Beijing	china	44	177
P1250718	Paiya dance	http://www.youtube.com/watch?v=LSOjE1YKv0Y&feature=youtube_gdata_player	Six women performing a traditional singsing in Paiya village, Western Highlands close to Mt Hagen.	papua_new_guinea	44	84
P1260720	Andong ride in Yogyakarta	http://www.youtube.com/watch?v=V9KX9EAkLWA&feature=youtube_gdata_player	Horse carriage ride in Yogyakarta. Alternative to riding a becak.	indonesia, java, yogyakarta	34	249
P1250079	Kids playing rugby in Auckland	http://www.youtube.com/watch?v=XMEjfYBYJio&feature=youtube_gdata_player	New Zealand, Parents cheering their kids during a rugby tournament in Auckland.	auckland	26	1134
P1250081	Kids playing rugby	http://www.youtube.com/watch?v=iXGuKpYWjgc&feature=youtube_gdata_player	Kids playing rugby in Auckland.	rugby, auckland	11	409
P1190118	Catching alpacas	http://www.youtube.com/watch?v=NPdCe0DZQaI&feature=youtube_gdata_player	Failed alpaca hunt on an high altitude plain close to Arequipa.	peru	51	60
P1210540	Karaoke on the Navimag ferry in Patagonia	http://www.youtube.com/watch?v=5XXNrb9Wprg&feature=youtube_gdata_player	A tour guide singing karaoke ("Easy Like a Sunday Morning") on the ferry from Puerto Montt to Puerto Natales.	chile	36	122
P1330503	Gecko on a hairy human leg	http://www.youtube.com/watch?v=pLHMxXjfrBM&feature=youtube_gdata_player	A gecko trying to climb up a moderately hairy human leg. Not very successfully. Wikipedia: The toes of the gecko have a special adaptation that allows them to adhere to most surfaces without the use of liquids or surface tension. Recent studies of the spatula tipped setae on gecko footpads demonstrate that the attractive forces that hold geckos to surfaces are van der Waals interactions between the finely divided setae and the surfaces themselves.	cambodia	26	276
P1160635	Marine iguana swimming	http://www.youtube.com/watch?v=8bihfSccALI&feature=youtube_gdata_player	The swimming of a marine iguana resembles floating, as the animal's legs do not move. Nevertheless the change of position is very rapid and directed. Darwin described it like this: "When in the water this lizard swims with perfect ease and quickness, by a serpentine movement of its body and flattened tail — the legs being motionless and closely collapsed on its sides.", see "The Voyage of the Beagle. Chapter 17 — Galapagos Archipelago".	ecuador, galapagos	27	231
P1270173	Jeep ride	http://www.youtube.com/watch?v=8SZsZmv1wbo&feature=youtube_gdata_player	Driving down Mount Penanjakan (2770m) in a jeep, coming back from viewing the sunrise over Mount Bromo.	indonesia	24	45
P1140981	Tabatinga-Iquitos fast boat	http://www.youtube.com/watch?v=plQpKdbg4vM&feature=youtube_gdata_player	Filming in the Tabatinga-Iquitos fast-boat moving 40km/h. Views to the river bank and to the inside of the boat.	peru, amazonas	33	43
P1250741	Paiya village dance	http://www.youtube.com/watch?v=-v1hVndBftA&feature=youtube_gdata_player	Women from the Paiya village in PNG Highlands close to Mt Hagen performing a dance.	papua_new_guinea	27	47
P1260377	Gamelan musicians and a shadow puppet show	http://www.youtube.com/watch?v=GthgFBdwYqo&feature=youtube_gdata_player	Shadow puppet performance at the Wayang Theatre in Jakarta, including the gamelan musicians.	indonesia, java, jakarta	32	82
P1370509	Musical fountains	http://www.youtube.com/watch?v=ORD1v4SUWEc&feature=youtube_gdata_player	Water show in Xi'an	china	51	22
P1220654	Changing of the guards	http://www.youtube.com/watch?v=QfJTqAb0J0E&feature=youtube_gdata_player	Changing of the guards at the Malvinas monument in Buenos Aires.	argentina	74	92
P1370078	Snubbed nosed monkey baby in the Beijing Zoo	http://www.youtube.com/watch?v=Q8ws14lh7js&feature=youtube_gdata_player	Snubbed nosed monkey baby in the Beijing Zoo	china	32	301
P1370657	Fashion show	http://www.youtube.com/watch?v=av2LkV2LJHs&feature=youtube_gdata_player	Fashion show at the Raffles Mall in Beijing	china	43	9
P1160233	Music-making trash truck	http://www.youtube.com/watch?v=Yr1blPeN3ZA&feature=youtube_gdata_player	in Otavalo by the market. (The music cannot be heard unfortunately.)	ecuador, otavalo	20	230
P1230336	Small animal escaping	http://www.youtube.com/watch?v=ijrA7O-22aE&feature=youtube_gdata_player	Small animal running on the side of the road but then jumping into the bushes to escape a truckful of tourists driving by, Pantanal, Brazil.	brazil	7	24
P1330248	Skinning the frogs	http://www.youtube.com/watch?v=2U1oUScrZTU&feature=youtube_gdata_player	Little boys removing the skin of the frogs at a riverside market close to Can Tho.	vietnam	14	198
P1250633	Courting ritual	http://www.youtube.com/watch?v=w2sq2FfQnlY&feature=youtube_gdata_player	Two young men and two young women singing, smoking and courting, Magic Mountain Lodge, Highlands, close to Mt Hagen.	papua_new_guinea	20	8
P1350281	Bubble-eyed goldfish	http://www.youtube.com/watch?v=qQn1HM1dDS4&feature=youtube_gdata_player	Mutant fish in the Hong Kong Science Museum	hong_kong	27	165
P1130469	Giant dolls used at the carnival in Olinda	http://www.youtube.com/watch?v=WYv4qGKJCzw&feature=youtube_gdata_player	Museum of the giant dancing carnival dolls of Olinda	brazil, olinda	16	34
P1370660	Fashion show	http://www.youtube.com/watch?v=q8a8-uu0DPE&feature=youtube_gdata_player	Fashion show at the Raffles Mall in Beijing	china	45	3
P1350024	Traffic madness in Ahmedabad	http://www.youtube.com/watch?v=nsXPaF-AZFE&feature=youtube_gdata_player	A mass of yellow-and-green moto-rickshaws and motorbikes, and their perpetual honking --- a daily traffic situation in central Ahmedabad.	india	23	86
P1260654	Javanese puppet show	http://www.youtube.com/watch?v=YKIS4rVb8KA&feature=youtube_gdata_player	Javanese puppet show performed in the Sultan's Palace in Yogyakarta.	indonesia, java	54	75
P1370527	Musical fountain	http://www.youtube.com/watch?v=py2sf2pugPU&feature=youtube_gdata_player	Large musical fountain in Xi'an	china	66	1
P1330731	Irrawaddy dolphins swimming in Mekong	http://www.youtube.com/watch?v=5cnkB9xLIEo&feature=youtube_gdata_player	Irrawaddy dolphins (Orcaella brevirostris) showing their backs and dorsal fins while swimming in the Mekong river, close to Kratie, Cambodia.	cambodia	10	191
P1260387	Shadow puppet performance	http://www.youtube.com/watch?v=-PMcWL2ZJPE&feature=youtube_gdata_player	Shadow puppet performance at the Wayang Museum in Jakarta.	indonesia, java	47	57
P1370565	Musical fountain	http://www.youtube.com/watch?v=RWaNScvpVCU&feature=youtube_gdata_player	People observing the musical fountain of Xi'an	china	20	1
P1260948	Hindu religious ceremony at Mt. Bromo	http://www.youtube.com/watch?v=LdD1Zm68vGE&feature=youtube_gdata_player		bromo, hindu, indonesia	19	119
P1250613	Building a wall	http://www.youtube.com/watch?v=sdjBip7eyzI&feature=youtube_gdata_player	Villagers building a wall for a house, Highlands, close to Mt Hagen.	papua_new_guinea	43	5
P1290949	Elephant wash	http://www.youtube.com/watch?v=1k7fHb0_dhU&feature=youtube_gdata_player	Washing an elephant in the Jumbo Elephant Camp in Northern Thailand	thailand	35	170
P1250712	Making fire without matches	http://www.youtube.com/watch?v=bgeGdQupOXA&feature=youtube_gdata_player	Making fire without matches, Paiya village, Highlands of Papua New Guinea, close to Mt Hagen.	papua_new_guinea	24	48
