20100205	dbl-b, Hostal Like Home, Arequipa
20100206	tent, El Misti basecamp
20100207	dbl+b, Hostal Like Home, Arequipa
20100208	dbl+b, Hospidaje Guest House, Puno
20100209	dbl+b, Kusillos, Puno
20100210	dbl+b, Kusillos, Puno
20100211	dbl+b, Kusillos, Puno
20100212	dbl+b, Kusillos, Puno
20100213	dbl-b, Lago Sagrado, Copacabana
20100214	sng-b, Lago Sagrado, Copacabana
20100215	dbl-b, Las Brujas, La Paz
20100216	dbl-b, Las Brujas, La Paz
20100217	dbl-b, Las Brujas, La Paz
20100218	dorm, Refugio 1, Huayna Potosi, Bolivia
20100219	dorm, Refugio 2, Huayna Potosi, Bolivia
20100220	dbl+b, Hotel Majestic, La Paz, Bolivia
20100221	bus, La Paz -> Potosi
20100222	dorm, Koala Den, Potosi
20100223	dbl-b, Palace, Uyuni
20100224	dorm, Chuvica (?)
20100225	dorm, Laguna Colorada
20100226	dbl-b, Reiko (?), San Pedro de Atacama
20100227	bus, San Pedro de Atacama -> Santiago
20100228	dbl-b, Residencia en El Cerro, Valparaiso
20100301	dbl-b, Residencia en El Cerro, Valparaiso
20100302	dorm, Ruca Potu, Mendoza
20100303	bus, Mendoza -> Bariloche
20100304	dbl+b, Ambiente Familiar, Puerto Montt, Chile
20100305	dbl-b/boat, Evangelistas
20100306	dbl-b/boat, Evangelistas
20100307	dbl-b/boat, Evangelistas
20100308	dbl-b, Bertila, Puerto Natales
20100309	tent, Las Carretas, Torres del Paine
20100310	tent, Los Guardas, Torres del Paine
20100311	tent, Italiano, Torres del Paine
20100312	tent, Los Cuernos, Torres del Paine
20100313	tent, Torres, Torres del Paine
20100314	dbl-b, Bertila, Puerto Natales
20100315	dorm, Estrella Celeste, El Calafate
20100316	dorm, ???, Rio Gallegos
20100317	dorm, Patagonia Pais, Ushuaia
20100318	dorm, Patagonia Pais, Ushuaia
20100319	dorm, Patagonia Pais, Ushuaia
20100320	dbl+b, Telmotango, Buenos Aires, Argentina
20100321	dbl-b, Hostel Inn Buenos Aires, Buenos Aires, Argentina
20100322	dbl-b, Hostel Inn Buenos Aires, Buenos Aires, Argentina
20100323	bus, Buenos Aires -> Puerto Iguazu, Argentina
20100324	dbl-b, Las Palmeras, Puerto Iguazu, Argentina
20100325	dbl-b, Las Palmeras, Puerto Iguazu, Argentina
20100326	dbl-b, Las Palmeras, Puerto Iguazu, Argentina
20100327	dbl-b, Las Palmeras, Puerto Iguazu, Argentina
20100328	dbl-b, Las Palmeras, Puerto Iguazu, Argentina
20100329	dbl-b, Las Palmeras, Puerto Iguazu, Argentina
20100330	bus, Cascavel -> Campo Grande
20100331	dbl+b, HI Hostel Campo Grande, Campo Grande, Brazil
20100401	hammock/shelter, Pantanal
20100402	hammock/shelter, Pantanal
20100403	hammock/shelter, Pantanal
20100404	bus, Campo Grande -> São Paulo
20100405	dbl+b, HI Hostel São Paulo, São Paulo, Brazil
20100406	dbl+b, HI Hostel São Paulo, São Paulo, Brazil
20100407	tent, Cabañas Chez Cecilia, Hanga Roa, Rapa Nui
20100408	tent, Cabañas Chez Cecilia, Hanga Roa, Rapa Nui
20100409	tent, Cabañas Chez Cecilia, Hanga Roa, Rapa Nui
20100410	tent, Cabañas Chez Cecilia, Hanga Roa, Rapa Nui
20100411	dorm, Pension Fifi, Faaa, Tahiti, French Polynesia
20100412	dorm, Pension Fifi, Faaa, Tahiti, French Polynesia
20100413	dorm, Pension Fifi, Faaa, Tahiti, French Polynesia
20100414	bungalow, Pension Armelle "Fare Te Nahe To'e To'e", Parea, Huahine, French Polynesia
20100415	bungalow, Pension Armelle "Fare Te Nahe To'e To'e", Parea, Huahine, French Polynesia
20100416	dbl-b, Pension Robert et Tina, Bora Bora, French Polynesia
20100417	dbl-b, Pension Robert et Tina, Bora Bora, French Polynesia
20100418	dbl-b, Pension Fifi, Faaa, Tahiti, French Polynesia
20100419	dbl-b, Pension Fifi, Faaa, Tahiti, French Polynesia
20100420	dorm, Pension Fifi, Faaa, Tahiti, French Polynesia
20100421	(dateline)
20100422	dbl-b, Nomads Fat Camel, Auckland, New Zealand
20100423	dbl-b, Nomads Fat Camel, Auckland, New Zealand
20100424	dbl-b, Nomads Fat Camel, Auckland, New Zealand
20100425	dbl-b, Nomads Fat Camel, Auckland, New Zealand
20100426	dbl-b, Nomads Maze, Sydney, Australia
